Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10pF,
"C3, C4, C5, C6, C7",0402,5,1nF,
"D1, D2, D3, D4, D5",D_SOD-523,5,ESD5Zxx,
"J1, J2",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07_Pin,
R1,0603,1,10K,
"R2, R3, R4, R5",0603,4,2M,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,KS1082,
